id,country,year,life_expectancy,country_name
3350118,MDG,2019,65.34995,Madagascar
3354868,BRA,2019,75.90331,Brazil
3368037,TLS,2010,68.06429,Timor-Leste
3369739,CAF,2010,48.51089,Central African Republic
3382213,TKM,2010,67.31309,Turkmenistan
3384018,QAT,2015,76.40804,Qatar
3405176,PRT,2000,76.58447,Portugal
3430489,RUS,2010,68.76031,Russia
3430801,NGA,2000,53.63285,Nigeria
3444851,KEN,2010,61.17774,Kenya
3445230,IRL,2010,80.41316,Ireland
3467322,IRQ,2019,72.42317,Iraq
3491249,LCA,2015,75.00793,St. Lucia
3491960,SRB,2010,74.20436,Serbia
3508013,GMB,2019,65.4712,Gambia
3509998,NER,2000,50.35257,Niger
3524365,YEM,2015,67.46812,Yemen
3524704,GNB,2010,55.43303,Guinea-Bissau
3528633,HUN,2010,74.576,Hungary
3536970,ALB,2019,78.00018,Albania
3538537,ATG,2019,76.45393,Antigua & Barbuda
3550418,OMN,2019,73.89786,Oman
3552861,HND,2015,69.81947,Honduras
3560214,BHR,2000,70.46838,Bahrain
3567529,PNG,2015,64.48792,Papua New Guinea
3579703,NOR,2010,80.8722,Norway
3607001,ESP,2015,82.33084,Spain
3616125,SYR,2015,64.40233,Syria
3629524,SGP,2015,82.80753,Singapore
3668725,CZE,2019,79.1303,Czechia
3673121,GEO,2015,72.58078,Georgia
3675030,AUT,2019,81.64519,Austria
3679172,TUR,2015,77.79037,Turkey
3683299,GNQ,2015,61.12561,Equatorial Guinea
3718427,RWA,2010,64.43977,Rwanda
3726082,IND,2015,69.31467,India
3740131,LSO,2010,47.37603,Lesotho
3757589,FRA,2015,81.9132,France
3769619,BOL,2010,70.34061,Bolivia
3774463,FRA,2000,78.91328,France
3777154,ARE,2019,76.07952,United Arab Emirates
3778074,QAT,2019,77.17221,Qatar
3798503,GBR,2000,77.85276,United Kingdom
3815263,ECU,2019,78.44662,Ecuador
3820761,AFG,2000,54.98949,Afghanistan
3831574,BWA,2010,58.1373,Botswana
3838995,SYC,2000,71.86977,Seychelles
3841446,SUR,2019,71.48003,Suriname
3843142,LBN,2000,74.61004,Lebanon
3850380,IRQ,2010,70.24248,Iraq
3860870,LTU,2010,73.14211,Lithuania
3862069,BIH,2010,76.18808,Bosnia & Herzegovina
3865997,TTO,2010,72.1172,Trinidad & Tobago
3871680,TZA,2000,52.4742,Tanzania
3873634,OMN,2015,72.52431,Oman
3878164,MOZ,2000,50.68681,Mozambique
3884364,BDI,2019,63.83847,Burundi
3890733,BEN,2015,61.96257,Benin
